BranchNum,FID,kv_from,kv_to,tap,Lat1,Lat2,Lon1,Lon2,Length
5217,5396,66,66,0,35.89197458,35.91084465,-119.1438042,-119.144461,1.342361842
5218,5397,66,66,0,35.89197458,35.86314651,-119.1438042,-119.1437596,1.987642931
5219,5398,66,66,0,35.99376951,35.99419868,-119.1440996,-119.0177913,7.088180387
5220,5399,66,66,0,35.96392382,35.83412992,-119.0184794,-119.035598,9.959958117
5221,5400,66,66,0,35.83412992,35.84173106,-119.035598,-119.0850521,3.573386196
5222,5401,66,66,0,35.89184997,35.83387619,-119.2503083,-119.2501235,3.997058741
5223,5402,66,66,0,35.79055583,35.77578251,-119.2492927,-119.2423634,1.422367727
5224,5403,66,66,0,35.79057671,35.79055583,-119.2502676,-119.2492927,0.069962469
5225,5404,66,66,0,35.80494139,35.79057671,-119.2501801,-119.2502676,0.990410363
5226,5405,66,66,0,35.83387619,35.80494139,-119.2501235,-119.2501801,1.994917788
5227,5406,66,66,0,35.83387619,35.83412075,-119.2501235,-119.2100095,2.254903043
5228,5407,66,66,0,35.83412075,35.8343055,-119.2100095,-119.2100027,0.016346503
5229,5408,66,66,0,35.83412075,35.84173106,-119.2100095,-119.0850521,7.524271226
5230,5409,66,66,0,35.80494139,35.80547067,-119.2501801,-119.1606445,5.042962808
5231,5410,66,66,0,35.80547067,35.8052022,-119.1606445,-119.1073158,3.0173341
5232,5411,66,66,0,35.80524822,35.83148348,-119.1053729,-119.0893678,2.020050971
5233,5412,66,66,0,35.83148348,35.83411159,-119.0893678,-119.0893244,0.181210917
5234,5413,66,66,0,35.83411159,35.84173106,-119.0893244,-119.0850521,0.745635483
5235,5414,66,66,0,35.8052022,35.80524822,-119.1073158,-119.1053729,0.109160192
5236,5415,66,66,0,35.8052022,35.83411159,-119.1073158,-119.0893244,3.019324456
5237,5416,66,66,0,35.83148348,35.76174635,-119.0893678,-119.0985401,5.343833255
5238,5417,66,66,0,35.76174635,35.73292428,-119.0985401,-119.0985142,1.987125718
5239,5418,66,66,0,35.73292428,35.70369931,-119.0985142,-119.2045057,7.99643334
5240,5419,66,66,0,35.83412992,35.72129626,-119.035598,-118.6954206,22.8055785
5241,5420,66,66,0,35.72129626,35.72225002,-118.6954206,-118.6950667,0.088094515
5242,5421,66,66,0,35.84173106,35.72125759,-119.0850521,-118.6953845,26.40756055
5243,5422,66,66,0,35.72125759,35.72225002,-118.6953845,-118.6950667,0.090687817
5244,5423,66,66,0,35.77875125,35.79057671,-119.3050706,-119.2502676,4.273939747
5245,5424,66,66,0,35.79055583,35.77578653,-119.2492927,-119.2411341,1.475642103
5246,5425,66,66,0,34.46415378,34.4644854,-120.0212043,-120.0443499,1.330537438
5247,5426,66,66,0,34.47497319,34.47650388,-120.1273532,-120.1995955,4.163299406
5248,5427,66,66,0,34.4644854,34.47497319,-120.0443499,-120.1273532,5.212229296
5249,5428,66,66,0,34.47650388,34.47602028,-120.1995955,-120.1993585,0.046127863
5250,5429,66,66,0,34.47650388,34.476413,-120.1995955,-120.2057032,0.516391319
5251,5430,66,66,0,34.47734778,34.4644854,-120.0419565,-120.0443499,0.95661558
5252,5431,66,66,0,34.43089064,34.43113391,-119.9002979,-119.9000998,0.025917204
